Nom Famille,Prénom,Classe,Email Tuteur,Mobile,Date Absence,Justification
Bennani,Safia,IA,armyhajar26@gmail.com,0613086578,2025-01-25,Transport
Ouazzani,Hamza,Cyber Security,aymaneessalehy79@gmail.com,0659455137,2025-11-19,
Tazi,Fatima,IA,marcilinemarciline58@gmail.com,0645376019,2025-02-03,Urgence familiale
Alaoui,Fatima,Big Data,someoner774@gmail.com,0659455137,2025-12-18,Voyage
Idrissi,Karim,Cyber Security,Houdafettou06@gmail.com,0659455137,2025-09-14,Voyage
Naciri,Hicham,Big Data,aymaneessalehy79@gmail.com,0645376019,2025-06-23,
Sefrioui,Karim,Cyber Security,marcilinemarciline58@gmail.com,0645376019,2025-01-05,Voyage
Benjelloun,Meryem,IA,marcilinemarciline58@gmail.com,0613086578,2025-01-22,Transport
Tazi,Safia,IA,someoner774@gmail.com,0613086578,2025-07-06,Grippe
Idrissi,Houda,Big Data,aymaneessalehy79@gmail.com,0645376019,2025-03-28,Voyage
Alami,Sara,Big Data,someoner774@gmail.com,0645376019,2025-03-12,Transport
Alami,Yasmina,IA,someoner774@gmail.com,0613086578,2025-06-12,Rendez-vous medical
Benjelloun,Anas,Big Data,Houdafettou06@gmail.com,0613086578,2025-09-03,Urgence familiale
Alaoui,Anas,IA,Houdafettou06@gmail.com,0613086578,2025-07-12,Rendez-vous medical
El Fassi,Hamza,IA,aymaneessalehy79@gmail.com,0659455137,2025-10-06,
Bennani,Ghita,Cyber Security,Houdafettou06@gmail.com,0659455137,2025-02-25,Maladie
Bennani,Youssef,Cyber Security,aymaneessalehy79@gmail.com,0645376019,2025-06-07,Rendez-vous medical
Alami,Anas,Cyber Security,aymaneessalehy79@gmail.com,0659455137,2025-10-28,Rendez-vous medical
Naciri,Oumaima,Cyber Security,marcilinemarciline58@gmail.com,0613086578,2025-02-06,
Benjelloun,Mohamed,IA,Houdafettou06@gmail.com,0613086578,2025-04-09,Grippe
Alaoui,Meryem,Cyber Security,marcilinemarciline58@gmail.com,0645376019,2025-08-21,
Benjelloun,Oumaima,IA,Houdafettou06@gmail.com,0613086578,2025-06-07,Rendez-vous medical
Benjelloun,Mehdi,IA,marcilinemarciline58@gmail.com,0659455137,2025-07-12,Grippe
Benjelloun,Kenza,Big Data,aymaneessalehy79@gmail.com,0659455137,2025-08-16,Grippe
Mansouri,Safia,IA,someoner774@gmail.com,0645376019,2025-05-22,Rendez-vous medical
Tazi,Mohamed,Cyber Security,armyhajar26@gmail.com,0645376019,2025-07-20,Urgence familiale
Alami,Hicham,IA,marcilinemarciline58@gmail.com,0645376019,2025-01-01,
Alami,Fatima,Cyber Security,marcilinemarciline58@gmail.com,0613086578,2025-02-16,Rendez-vous medical
Ouazzani,Yasmina,Big Data,Houdafettou06@gmail.com,0613086578,2025-04-23,Urgence familiale
Alaoui,Safia,Big Data,someoner774@gmail.com,0645376019,2025-07-15,Voyage
Benjelloun,Hicham,Big Data,armyhajar26@gmail.com,0659455137,2025-10-22,Voyage
Bennani,Karim,Big Data,someoner774@gmail.com,0645376019,2025-06-16,Grippe
Naciri,Kenza,Cyber Security,someoner774@gmail.com,0613086578,2025-10-18,Maladie
Naciri,Houda,Big Data,aymaneessalehy79@gmail.com,0613086578,2025-05-01,Transport
Berrada,Houda,IA,someoner774@gmail.com,0613086578,2025-11-25,Rendez-vous medical
El Fassi,Karim,Cyber Security,Houdafettou06@gmail.com,0645376019,2025-12-11,Transport
Alaoui,Safia,IA,marcilinemarciline58@gmail.com,0613086578,2025-02-17,
Tazi,Hamza,Big Data,someoner774@gmail.com,0645376019,2025-01-08,Voyage
Kadiri,Safia,IA,someoner774@gmail.com,0613086578,2025-01-13,
Chraibi,Sara,Big Data,marcilinemarciline58@gmail.com,0645376019,2025-07-27,
Alami,Omar,Cyber Security,someoner774@gmail.com,0645376019,2025-05-20,Rendez-vous medical
Ouazzani,Safia,IA,Houdafettou06@gmail.com,0613086578,2025-09-03,
Tazi,Fatima,IA,someoner774@gmail.com,0613086578,2025-08-05,Transport
Filali,Kenza,Cyber Security,aymaneessalehy79@gmail.com,0645376019,2025-04-05,
Naciri,Oumaima,Big Data,armyhajar26@gmail.com,0613086578,2025-08-23,Transport
Ouazzani,Walid,Big Data,Houdafettou06@gmail.com,0645376019,2025-11-09,Maladie
Ouazzani,Youssef,Big Data,Houdafettou06@gmail.com,0613086578,2025-06-24,
Ouazzani,Ghita,Big Data,aymaneessalehy79@gmail.com,0659455137,2025-01-23,Rendez-vous medical
Naciri,Houda,Big Data,someoner774@gmail.com,0613086578,2025-02-17,Urgence familiale
Bennani,Youssef,IA,marcilinemarciline58@gmail.com,0659455137,2025-06-13,
Berrada,Sara,IA,marcilinemarciline58@gmail.com,0613086578,2025-07-07,Rendez-vous medical
Ouazzani,Oumaima,Cyber Security,aymaneessalehy79@gmail.com,0659455137,2025-09-12,Grippe
Alaoui,Salma,Big Data,someoner774@gmail.com,0645376019,2025-09-25,
Kadiri,Amine,Cyber Security,aymaneessalehy79@gmail.com,0613086578,2025-10-08,Transport
Tazi,Sara,Big Data,someoner774@gmail.com,0645376019,2025-05-26,Urgence familiale
Bennani,Yasmina,Big Data,marcilinemarciline58@gmail.com,0613086578,2025-05-01,Voyage
Alaoui,Safia,IA,someoner774@gmail.com,0613086578,2025-12-18,
Tazi,Hamza,IA,aymaneessalehy79@gmail.com,0645376019,2025-01-16,
Tahiri,Karim,Cyber Security,marcilinemarciline58@gmail.com,0659455137,2025-09-07,Rendez-vous medical
